121.48	24.96	24.75
121.48	24.98	25.31
121.48	25.00	25.69
121.48	25.02	25.66
121.48	25.04	25.73
121.48	25.06	26.13
121.48	25.08	25.67
121.48	25.10	25.72
121.48	25.12	25.71
121.48	25.14	24.81
121.48	25.16	24.13
121.48	25.18	24.29
121.48	25.20	24.8
121.50	24.96	25.47
121.50	24.98	25.58
121.50	25.00	26.01
121.50	25.02	25.73
121.50	25.04	25.77
121.50	25.06	26.07
121.50	25.08	25.74
121.50	25.10	25.77
121.50	25.12	25.75
121.50	25.14	25.59
121.50	25.16	23.14
121.50	25.18	21.15
121.50	25.20	23.88
121.52	24.96	25.55
121.52	24.98	25.76
121.52	25.00	25.67
121.52	25.02	26.06
121.52	25.04	25.7
121.52	25.06	25.74
121.52	25.08	25.78
121.52	25.10	25.81
121.52	25.12	26.16
121.52	25.14	24.62
121.52	25.16	22.39
121.52	25.18	19.31
121.52	25.20	22.74
121.54	24.96	25.21
121.54	24.98	25.68
121.54	25.00	25.74
121.54	25.02	25.76
121.54	25.04	25.79
121.54	25.06	25.81
121.54	25.08	25.88
121.54	25.10	25.38
121.54	25.12	25.21
121.54	25.14	23.93
121.54	25.16	22.82
121.54	25.18	21.23
121.54	25.20	20.84
121.56	24.96	24.9
121.56	24.98	25.79
121.56	25.00	25.75
121.56	25.02	25.83
121.56	25.04	26.18
121.56	25.06	25.9
121.56	25.08	25.94
121.56	25.10	25.11
121.56	25.12	23.9
121.56	25.14	22.73
121.56	25.16	21.89
121.56	25.18	21.61
121.56	25.20	21.2
121.58	24.96	24.84
121.58	24.98	25.23
121.58	25.00	25.87
121.58	25.02	25.38
121.58	25.04	25.92
121.58	25.06	26.12
121.58	25.08	26.14
121.58	25.10	24.54
121.58	25.12	24.76
121.58	25.14	22.74
121.58	25.16	21.35
121.58	25.18	23.44
121.58	25.20	23.5
121.60	24.96	23.33
121.60	24.98	23.23
121.60	25.00	25.49
121.60	25.02	25.08
121.60	25.04	25.91
121.60	25.06	26.09
121.60	25.08	25.94
121.60	25.10	24.6
121.60	25.12	22.62
121.60	25.14	22.31
121.60	25.16	22.38
121.60	25.18	20.99
121.60	25.20	24.28
121.62	24.96	23.22
121.62	24.98	23.96
121.62	25.00	25.85
121.62	25.02	24.68
121.62	25.04	26.07
121.62	25.06	26.19
121.62	25.08	25.88
121.62	25.10	25.7
121.62	25.12	24.07
121.62	25.14	23
121.62	25.16	24.04
121.62	25.18	23.32
121.62	25.20	24.63
